uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
1,833.108236,927.675188,1460.521521,407.253876,885.304206,0.209392175,0,1,0,0,0.037638,0.433333,1.53647,134.947998,416.229091,0.148916,1,0.3444,27.900964,13.950482,0.451173,0.084959546,0.04908546,0.19275011,0.020360336,0.791776305,24.8006,1
2,783.236611,885.688905,1411.13496,400.6891,839.113059,0.207355882,0,1,0,0,0.037638,0.433333,1.53647,134.947998,389.735446,0.062727,0.5,0.3444,50.314424,12.578606,0.451173,0.091570615,0.048760923,0.194533795,0.024186962,0.795911025,24.8006,1
3,745.586261,939.922194,1331.261179,250.670595,866.566499,0,0,0.573352,0,0.68498,0.047007,0.60119,1.11159,291.817993,236.030212,0.405180135,1,0.4316,50.043234,25.021617,0.244025,0.703903,0,0.03323,0,0.468075961,16.478351,2
4,747.943449,906.498002,1348.941306,300.51028,839.907318,0,0,0.501624,0,0.704888,0.060872,0.69,1.156933,228.182332,278.065521,0.452509697,0.75,0.4316,71.488733,5.499133,0.199823,0.707452,0,0.056975,0.000211,0.48805442,15.7271,2
5,739.009217,874.656232,1354.459908,350.395646,815.445344,0,0,0.433555,0,0.705901,0.094347,0.856504,1.246983,232.626668,322.382702,0.509516639,0.333333,0.4316,74.91529,5.762715,0.182567,0.722348,0.005832392,0.082209,0.00048,0.466578936,15.7175,2
6,733.382468,844.575882,1361.79317,400.309618,793.383838,0.003817134,0,0.504284,0,0.693535,0.072532,0.714048,1.29995,234.059001,367.772434,0.494283873,0.5,0.3444,72.248175,4.816545,0.133991,0.72112,0.177399963,0.059178,0.016146,0.475887807,15.7175,2
7,731.139566,816.451662,1370.911971,369.095618,773.92811,0,0,0.645813,0,0.65,0.060346,0.63869,1.19305,311.677002,413.187691,0.354184691,0.5,0.2573,50.99257,12.748143,0.083417,0.732296,0.132161329,0.065791,0.009991,0.459337487,15.827,1
8,732.311604,790.492386,1381.780962,327.951282,757.279027,0,0,0.601777,0,0.580234,0.046622,0.449256,1.136547,266.591995,410.457372,0.139332934,0,0.2573,101.747629,5.087381,0.121658,0.733323,0.049109949,0.089767,0.00461,0.453830754,16.214499,1
9,736.882287,766.917928,1394.359215,289.607513,743.625128,0,0,0,0,0,0.025254,0.329167,1.09855,247.664993,363.293977,1,0.5,0.2573,18.375927,4.593982,0.451173,0.08771493,0.050287955,0.188217282,0.024900552,0.792660313,16.601999,1
10,696.002931,904.056035,1285.920733,259.868779,825.399712,0,0,0,0,0,0.040663,0.4218,1.2383,192.382004,210.611781,1,0.333333,0.4316,10.86772,5.43386,0.4512,0.086538633,0.283596637,0.193574635,0.077556938,0.789257583,16.28065,2
11,687.303252,722.514146,1346.260147,258.108954,695.216167,0,0,0,0,0,0.025254,0.329167,1.09855,247.664993,348.803421,1,1,0.2573,33.555302,8.388826,0.18145,0.73982,0.276553556,0.039668,0.017202,0.447905667,16.601999,1
12,695.773657,700.222527,1361.005282,218.953649,683.982693,0,0,0,0,0,0.025254,0.329167,1.09855,247.664993,300.285008,1,0.5,0.2573,51.931229,12.982807,0.175844,0.731754,0.365756824,0.038539,0.02211,0.4589362,22.1395,1
13,707.683688,680.879199,1377.408572,185.097727,676.268534,0.075424552,0,0,0,0,0.025254,0.329167,1.09855,247.664993,252.345687,1,0.666667,0.2436,51.931229,12.982807,0.199715,0.734308,0,0.034968,0,0.457123302,29.36125,1
14,722.86335,664.741589,1395.411541,159.942605,672.194864,0,0,0,0,0,0.025254,0.329167,1.09855,247.664993,205.391347,1,0.5,0.23,47.648851,23.824425,0.204936,0.733063,0,0.037492,0,0.46113636,31.0455,1
15,741.111761,652.047757,1414.953131,147.993598,671.82791,0,0,0,0,0,0,0,0,0,160.289941,1,0.5,0.23,0,0,0.451173,0.086790122,0.056576058,0.195618683,0.019333456,0.796908067,32.2244,1
16,646.483788,869.586624,1240.938329,277.898934,785.259112,0,0,0,0,0,0.040663,0.4218,1.2383,192.382004,189.69584,1,0,0.3657,50.032065,12.508016,0.345803,0.568051,0,0.032746,0,0.605371048,16.08295,2
17,695.440075,603.348871,1369.405391,98.233525,621.852015,0,0,0,0,0,0.025364,0.304167,1.08198,232.149994,142.73813,1,0,0.23,93.526841,8.50244,0.17051,0.716971,0.000979974,0.063315,0.000062,0.480938237,28.063801,1
